2140,1680,10
780,960,1
780,960,1
780,960,1
780,960,1
700,1000,1
700,1000,1
550,600,1
550,600,1
550,600,1
550,600,1
550,600,1
550,600,1
495,595,1
495,595,1
495,595,1
495,595,1
495,595,1
495,595,1
495,595,1
495,595,1
495,595,1
495,595,1
490,498,1
490,498,1
483,520,1
483,520,1
483,490,1
483,490,1
480,484,1
480,484,1
480,484,1
480,484,1
472,603,1
472,603,1
472,603,1
472,603,1
472,603,1
470,520,1
412,495,1
412,495,1
412,495,1
412,495,1
412,495,1
412,495,1
412,495,1
410,580,1
410,580,1
400,500,1
400,500,1
400,500,1
380,485,1
380,485,1
380,485,1
380,485,1
360,960,1
360,960,1
350,770,1
350,770,1
340,530,1
340,530,1
340,530,1
340,530,1
340,530,1
328,499,1
328,499,1
328,499,1
328,499,1
320,600,1
320,600,1
320,600,1
300,960,1
300,960,1
300,960,1
300,960,1
200,300,1
200,300,1
200,300,1
200,300,1
145,180,1
145,180,1
145,180,1
145,180,1
145,180,1
