2400,1500,20
680,1020,1
680,1020,1
490,500,1
490,500,1
490,500,1
490,500,1
480,610,1
475,608,1
475,608,1
470,590,1
470,590,1
470,590,1
465,470,1
465,470,1
465,470,1
460,670,1
460,670,1
460,670,1
460,670,1
460,610,1
460,610,1
460,610,1
460,610,1
460,600,1
460,600,1
450,620,1
450,620,1
450,620,1
450,620,1
450,455,1
450,455,1
450,455,1
440,480,1
440,480,1
440,480,1
430,440,1
420,470,1
420,470,1
420,448,1
420,448,1
400,450,1
390,490,1
390,490,1
390,490,1
390,490,1
390,490,1
390,490,1
300,460,1
300,460,1
300,460,1
300,410,1
300,410,1
250,500,1
